Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Stress_Level
35,5.16,9.13,0.1,1.01,2.85,10.0,0.05,Moderate
36,10.3,6.65,1.89,1.55,3.0,9.63,0.02,High
37,8.65,6.28,0.0,0.33,3.94,4.13,0.2,High
38,2.03,8.76,4.3,2.14,3.45,9.66,3.52,Low
39,8.42,7.26,1.27,0.31,3.01,10.0,0.46,Moderate
40,3.74,7.3,3.11,1.39,4.62,8.35,0.38,Moderate
41,7.26,8.71,0.85,0.91,3.66,9.39,2.25,Moderate
42,7.33,9.06,1.77,0.52,2.63,9.84,0.16,Moderate
43,7.49,7.07,0.0,0.04,2.17,10.0,0.23,Moderate
44,8.78,7.21,0.0,1.34,3.25,9.78,0.11,Moderate
45,5.35,9.24,2.12,0.38,4.17,9.78,0.0,Moderate
46,5.81,9.85,1.76,0.5,0.81,8.12,0.09,Moderate
47,5.64,9.51,1.35,0.68,1.0,8.6,0.96,Low
48,10.29,4.59,3.78,0.07,2.8,4.51,0.42,High
49,6.42,7.36,0.18,0.36,3.36,9.38,0.07,Low
50,10.74,6.67,1.46,0.59,0.5,8.69,1.24,High
51,10.08,5.9,0.5,0.19,4.18,4.28,2.55,High
52,9.53,8.37,2.02,0.72,2.2,10.0,0.74,Moderate
53,5.47,9.64,1.46,0.17,0.5,9.35,0.3,Moderate
54,4.11,7.67,2.66,0.03,2.43,10.0,0.17,Moderate
55,5.2,7.94,1.1,2.9,3.27,10.0,1.66,Moderate
56,4.85,7.48,1.55,0.23,1.34,10.0,3.03,Low
57,4.77,8.06,2.4,0.53,5.24,8.83,0.08,Moderate
58,4.43,8.15,0.68,0.93,4.11,9.95,0.32,High
59,5.99,8.78,1.26,0.87,4.21,9.52,1.47,Low
60,9.55,5.69,2.98,0.32,1.99,6.95,0.46,High
61,2.32,6.5,2.02,1.51,5.64,4.62,0.18,High
62,5.35,6.45,0.18,0.73,3.29,4.68,0.78,High
63,3.29,7.75,0.97,0.05,3.99,10.0,0.32,Moderate
64,2.51,8.39,5.17,1.24,4.75,8.78,0.06,Low
65,2.97,9.07,1.07,0.44,3.72,10.0,0.72,Low
66,4.92,7.12,1.74,2.63,5.33,10.0,3.5,Low
67,4.36,7.19,2.54,1.84,4.44,10.0,1.77,Moderate
68,10.58,5.29,1.48,0.82,2.74,4.04,2.29,High
69,9.03,5.65,2.06,0.07,4.95,5.68,0.29,High
70,6.25,7.18,1.83,0.48,5.34,9.24,0.11,Moderate
71,9.77,5.91,0.56,0.75,3.53,5.8,1.04,High
72,4.25,9.13,0.24,1.85,5.49,9.41,2.17,Low
73,6.06,6.81,1.36,1.68,3.61,10.0,0.78,Moderate
74,8.38,6.63,0.69,0.56,3.26,10.0,0.3,High
75,5.77,7.36,0.95,0.21,3.82,10.0,0.17,Moderate
76,10.18,7.17,1.32,0.0,2.59,9.21,0.28,High
77,11.6,5.71,0.0,2.74,2.55,5.02,0.56,High
78,5.45,9.07,0.35,0.06,2.14,10.0,0.0,Low
79,8.19,5.91,0.8,1.16,2.3,2.0,0.11,High
80,3.33,8.71,1.06,0.08,4.05,8.52,1.04,Low
81,1.85,8.7,2.1,0.05,6.05,9.12,0.41,Moderate
82,4.51,7.12,1.62,0.53,5.45,10.0,2.33,Moderate
83,4.09,8.43,1.78,0.64,4.39,10.0,1.15,Low
84,8.88,8.55,0.7,0.04,4.43,10.0,0.02,High
85,7.77,6.35,0.0,0.31,3.75,5.62,0.48,High
86,7.53,7.16,2.65,0.51,1.97,7.45,0.25,High
87,4.14,7.16,0.31,0.2,3.78,9.96,2.85,Moderate
88,5.28,6.62,3.82,0.1,4.14,10.0,0.28,Moderate
89,6.84,6.75,3.05,0.17,3.02,10.0,2.8,Moderate
90,3.99,8.08,3.18,0.59,4.89,9.93,0.18,Moderate
91,9.01,6.37,2.04,0.13,4.8,4.09,0.33,High
92,6.39,7.46,4.02,0.83,1.02,10.0,0.79,Moderate
93,6.13,6.13,4.52,0.02,4.0,4.57,1.61,Moderate
94,4.25,7.81,1.21,0.59,0.5,10.0,1.71,Moderate
95,4.39,8.89,7.39,0.56,3.41,10.0,0.35,Low
96,4.28,7.07,1.35,0.65,4.15,9.82,0.68,Moderate
97,3.36,8.39,0.71,2.0,6.67,10.0,0.34,Moderate
98,8.72,7.17,4.55,0.13,5.37,10.0,0.77,High
99,9.34,5.87,0.0,0.18,4.91,6.13,0.09,High
100,4.47,8.7,0.35,2.34,2.16,10.0,2.62,Low
101,2.94,7.37,5.82,0.49,2.99,10.0,0.42,Moderate
102,2.58,9.91,0.54,1.14,1.95,8.31,0.28,Low
103,8.79,7.21,2.57,0.08,5.41,8.74,3.06,Moderate
104,3.05,8.91,8.0,3.95,2.51,9.48,0.38,Low
105,4.5,9.47,2.49,0.14,2.71,10.0,0.35,Low
106,5.93,7.52,2.46,0.34,2.36,10.0,0.08,Moderate
107,5.87,7.25,1.76,1.64,1.94,9.08,0.06,High
108,9.08,8.12,0.45,0.63,3.18,10.0,0.05,High
109,8.91,8.65,0.04,0.05,2.74,8.96,0.11,High
110,5.59,7.28,8.0,2.46,0.56,10.0,2.18,Low
111,6.56,7.52,3.89,0.27,1.6,10.0,0.02,High
112,6.16,8.81,1.62,0.84,3.52,9.72,0.59,Low
113,8.4,6.91,0.0,0.81,3.23,9.18,0.38,High
114,3.71,9.22,0.36,2.03,2.98,9.77,1.56,Moderate
115,7.48,8.09,0.36,0.2,4.0,10.0,0.22,Moderate
116,3.56,8.12,0.76,0.49,1.9,8.31,0.36,Moderate
117,6.93,7.92,7.62,0.01,2.41,10.0,1.36,Low
118,4.41,8.38,2.89,0.45,4.52,10.0,0.21,Moderate
119,4.63,7.09,0.37,0.79,3.23,10.0,2.81,Moderate
120,6.19,6.77,4.77,0.61,4.41,10.0,0.59,Moderate
121,4.23,7.79,2.22,1.42,2.31,9.2,0.31,Low
122,4.76,9.19,1.15,0.9,2.1,10.0,0.13,Moderate
123,8.05,8.07,0.13,1.05,0.5,9.72,0.6,Moderate
124,2.29,9.87,4.06,0.21,0.59,9.26,0.72,Moderate
125,9.14,7.17,1.61,1.29,2.33,10.0,0.15,High
126,5.74,8.33,0.34,1.96,4.11,9.84,0.36,Moderate
127,6.11,8.06,3.54,0.66,3.27,7.79,0.07,Moderate
128,6.02,8.22,7.7,3.19,5.14,10.0,2.72,Moderate
129,9.14,7.2,0.0,0.18,2.45,10.0,0.44,High
130,1.96,7.83,1.74,0.28,1.4,9.15,2.31,Low
131,8.95,6.0,0.0,1.52,4.08,3.29,0.22,High
132,5.8,6.87,4.54,1.92,2.39,8.98,0.07,Moderate
133,4.21,9.56,0.56,0.19,3.51,8.88,0.19,Moderate
134,6.38,9.35,0.27,1.2,0.5,9.3,0.07,Low
135,5.62,5.79,4.63,0.06,4.07,4.37,0.12,Moderate
136,9.03,8.33,0.41,0.28,3.67,8.26,0.83,Moderate
137,3.44,8.81,5.58,0.3,4.69,10.0,1.02,Moderate
138,4.78,9.26,0.24,0.08,2.92,10.0,0.69,Moderate
139,5.86,8.38,2.64,0.65,3.31,10.0,0.07,Moderate
140,6.71,9.02,2.26,0.13,2.17,9.96,0.36,Moderate
141,4.2,8.66,0.75,0.12,3.24,10.0,0.58,Moderate
142,4.13,7.11,0.34,2.15,5.26,10.0,0.42,Low
143,5.13,8.02,0.08,0.18,2.58,9.02,2.59,Moderate
144,4.49,8.87,3.76,2.31,2.55,10.0,0.0,Low
145,3.68,8.42,5.38,0.03,1.54,9.38,0.21,Moderate
146,7.86,7.83,1.29,1.45,4.07,9.58,0.21,Moderate
147,4.56,8.26,1.0,0.18,3.27,9.61,0.07,Moderate
148,4.06,7.91,0.35,1.02,2.13,9.6,0.59,Low
149,2.11,8.1,1.85,1.51,5.67,9.29,0.31,Moderate
150,9.74,6.13,5.3,0.99,3.16,4.74,0.72,High
151,5.27,8.28,3.97,0.94,2.37,10.0,0.49,Moderate
152,4.98,6.22,1.66,0.18,5.72,3.92,0.31,Moderate
153,9.73,5.74,0.0,1.41,2.88,5.64,2.25,High
154,5.33,6.06,1.87,0.7,2.01,3.64,0.03,High
155,8.42,6.36,0.0,0.62,4.91,5.1,0.6,High
156,3.38,9.94,4.61,0.09,2.04,10.0,0.08,Low
157,6.29,6.54,3.42,3.0,8.46,10.0,0.56,Moderate
158,2.92,9.6,3.88,1.52,2.88,8.98,2.87,Low
159,3.44,11.0,0.32,1.51,0.5,9.87,0.53,Low
160,3.04,10.32,0.8,0.47,5.86,10.0,2.31,Moderate
161,6.81,7.67,3.35,1.32,3.26,9.29,0.6,Moderate
162,6.38,8.55,1.39,0.28,3.49,10.0,0.49,High
163,7.26,6.01,1.69,0.29,4.47,6.13,0.48,Moderate
164,9.06,5.18,0.26,2.31,1.74,4.21,0.19,High
165,7.71,7.25,2.58,0.2,0.5,10.0,0.78,Moderate
166,3.97,8.94,1.88,0.2,6.48,10.0,0.09,High
167,2.05,10.3,2.69,0.42,1.14,10.0,0.08,Moderate
168,6.08,7.23,0.98,0.23,6.16,10.0,0.12,Moderate
169,6.93,7.69,0.4,3.48,4.1,7.92,1.01,Low
170,3.37,8.91,0.35,0.59,3.98,7.92,0.14,Moderate
171,10.03,6.28,0.0,0.05,2.4,4.28,0.75,High
172,4.35,8.33,0.51,0.62,7.16,8.98,0.88,Moderate
173,8.72,6.02,0.0,1.7,2.49,5.5,0.08,High
174,2.73,9.25,3.46,0.19,2.74,5.87,1.38,Low
175,7.4,7.53,2.29,1.44,4.27,10.0,2.86,Low
176,8.55,6.49,0.22,1.51,2.38,4.58,0.11,High
177,4.53,9.01,1.86,0.08,1.87,9.16,0.33,Moderate
178,3.25,9.81,1.89,2.41,3.29,10.0,1.0,Low
179,2.63,9.68,4.76,3.57,4.62,8.88,2.36,Low
180,3.29,7.73,0.57,0.41,7.03,7.54,0.59,Moderate
181,5.09,8.24,6.23,0.06,6.68,10.0,2.11,High
182,5.02,7.26,0.11,0.01,1.28,10.0,1.33,Low
183,3.3,8.87,2.95,0.51,5.31,9.28,0.94,Moderate
184,7.04,6.56,0.0,1.72,2.26,10.0,0.33,High
185,5.13,9.41,3.05,0.66,1.67,10.0,1.73,Low
186,3.15,9.6,0.8,0.37,2.68,10.0,1.28,Low
187,5.53,9.14,0.76,0.12,2.18,10.0,0.04,Moderate
188,5.32,9.11,4.76,0.73,1.54,10.0,0.24,Low
189,3.02,8.6,3.04,1.16,0.5,9.0,1.81,Low
190,7.48,6.88,1.7,2.91,5.67,8.68,1.87,Moderate
191,8.04,8.85,1.99,0.25,3.92,10.0,0.6,Moderate
192,7.78,7.04,0.95,0.52,3.34,10.0,1.76,Low
193,8.43,5.62,0.07,2.23,2.32,5.77,0.46,High
194,5.04,9.17,5.56,0.86,5.05,9.15,0.01,Low
195,8.08,7.24,4.23,0.6,3.11,10.0,0.31,High
196,10.36,7.81,2.9,0.3,1.55,7.34,0.44,Moderate
197,0.73,9.91,1.95,2.08,1.51,7.76,0.49,Moderate
198,7.09,7.42,2.05,1.04,4.19,9.14,0.25,Moderate
199,8.6,8.44,0.0,0.72,2.09,10.0,1.47,Low
200,9.77,4.97,0.21,0.19,4.09,3.88,0.72,High
201,4.7,7.69,0.73,0.16,4.12,8.19,0.37,Low
202,2.17,8.28,2.46,0.18,5.22,8.38,0.34,Moderate
203,4.17,6.27,0.31,0.26,4.9,5.45,0.58,High
204,8.65,7.77,0.49,0.76,2.4,9.93,0.01,High
205,8.17,6.51,0.31,1.87,4.31,8.97,2.37,Moderate
206,9.57,7.48,0.0,2.04,4.17,10.0,0.42,High
207,10.46,6.65,1.36,0.63,5.17,10.0,0.14,High
208,6.57,8.23,0.53,1.88,1.51,10.0,1.54,Low
209,7.4,6.88,3.27,0.41,5.19,7.19,2.09,Moderate
210,1.86,8.51,0.86,0.41,1.87,9.21,0.5,Moderate
211,3.11,8.93,0.46,2.02,5.3,9.26,0.13,Low
212,2.58,9.94,1.11,2.69,2.62,6.79,0.13,Low
213,9.22,6.65,0.0,3.02,4.42,8.08,1.35,High
214,4.81,7.54,0.48,2.42,6.15,10.0,1.75,Moderate
215,3.75,7.42,5.48,0.28,4.57,9.84,0.39,Moderate
216,5.67,8.15,0.26,0.03,3.45,10.0,0.09,Low
217,8.12,6.53,0.0,0.24,3.41,9.09,0.03,High
218,10.11,6.31,0.27,0.28,2.44,5.65,1.35,High
219,3.96,8.3,0.66,0.32,5.58,8.2,0.59,Low
220,9.07,6.31,4.43,0.1,3.25,3.6,0.17,High
221,6.97,7.78,4.49,1.05,0.5,9.61,0.99,Low
222,3.15,9.38,5.07,2.09,4.99,7.61,0.97,Low
223,2.96,10.85,3.79,1.8,4.37,8.32,1.24,Low
224,4.18,9.22,0.95,0.2,3.53,10.0,0.4,Low
225,8.3,8.61,0.41,0.75,1.5,8.83,0.26,High
226,4.94,7.38,2.09,0.8,2.27,10.0,0.2,Moderate
227,7.28,5.78,0.09,0.22,2.89,5.73,0.59,High
228,4.74,8.25,0.86,3.12,4.01,9.64,0.23,Low
229,2.47,9.92,0.9,0.32,0.85,7.49,2.32,Low
230,8.11,7.79,1.35,1.61,3.69,9.95,0.28,Moderate
231,9.41,7.84,1.98,0.63,2.82,7.04,0.02,Moderate
232,7.96,4.6,0.33,0.09,6.3,4.26,0.68,High
233,2.88,10.17,0.48,1.48,4.46,9.64,0.16,Moderate
234,4.27,8.76,1.07,0.57,2.54,10.0,0.1,Moderate
235,3.41,7.19,1.26,0.72,1.94,9.34,1.9,Moderate
236,3.2,9.53,8.0,0.46,2.36,8.72,0.13,Low
237,3.43,8.89,1.3,1.09,5.86,8.7,0.46,Moderate
238,5.74,8.3,0.3,0.46,3.89,9.41,2.28,Moderate
239,8.2,8.05,0.17,1.3,3.82,10.0,1.03,High
240,7.44,7.75,2.1,0.33,2.3,10.0,3.44,Moderate
241,5.12,6.66,2.03,0.94,4.98,9.88,0.18,Moderate
242,2.98,8.74,3.62,0.22,1.68,10.0,0.19,Moderate
243,6.37,6.08,0.81,0.32,5.58,5.0,0.07,High
244,3.3,9.42,3.72,0.16,1.87,7.89,0.38,Moderate
245,5.7,9.33,1.23,2.23,0.5,8.64,0.06,Low
246,2.04,7.97,4.54,1.23,7.9,9.73,2.28,Moderate
247,2.49,8.38,5.52,2.44,4.43,7.55,0.86,Low
248,3.61,7.78,8.0,0.0,4.35,9.13,0.06,Moderate
249,5.52,7.54,0.54,0.09,1.0,9.82,0.1,Moderate
250,6.35,8.12,0.05,0.6,4.3,8.76,2.81,Moderate
251,6.57,7.18,0.14,0.72,5.01,8.0,0.51,Moderate
252,5.29,8.72,8.0,0.71,3.09,8.52,0.65,Moderate
253,4.38,9.46,0.96,1.39,4.66,7.6,0.24,Moderate
254,8.52,8.04,0.0,1.41,4.61,10.0,0.51,Moderate
255,6.45,6.55,0.67,0.09,4.76,10.0,0.05,Moderate
256,1.73,10.7,1.68,1.62,0.5,7.95,0.23,Low
257,5.15,9.59,8.0,0.02,1.35,8.27,0.01,Moderate
258,9.12,8.29,0.73,0.72,5.14,10.0,0.02,High
259,9.19,6.55,0.62,2.07,3.41,10.0,0.94,High
260,4.68,7.54,1.89,1.39,4.15,9.09,0.14,Moderate
261,9.2,5.72,0.0,0.72,2.36,6.06,0.61,High
262,5.91,6.76,0.75,0.82,3.06,10.0,0.21,High
263,4.2,8.47,5.83,0.89,5.55,10.0,0.56,Moderate
264,7.77,8.05,1.96,0.32,5.28,8.67,0.06,Moderate
265,3.84,9.89,1.14,1.72,4.48,7.83,0.58,Moderate
266,5.98,7.35,2.72,0.09,4.59,8.1,0.11,Low
267,8.67,6.85,0.0,1.22,4.23,10.0,0.58,High
268,10.88,6.01,2.56,0.79,2.97,3.05,0.75,High
269,7.36,6.71,1.62,0.24,1.87,10.0,0.19,High
270,8.5,7.68,4.78,0.24,0.87,10.0,0.29,Moderate
271,6.54,8.0,0.0,1.29,5.34,9.97,1.88,Moderate
272,10.94,6.24,0.4,0.45,2.92,3.83,2.13,High
273,8.38,7.35,0.79,0.85,3.88,9.61,1.37,Moderate
274,5.64,8.57,8.0,0.14,3.68,10.0,0.09,Low
275,5.65,8.55,5.05,0.48,3.76,8.72,0.17,Low
276,4.82,7.4,2.54,0.33,4.55,9.33,0.02,Moderate
277,7.19,8.31,0.99,2.77,4.13,7.21,0.47,Moderate
278,6.41,7.94,1.02,1.16,2.27,7.76,0.29,Moderate
279,4.92,7.77,2.12,0.34,5.64,8.32,0.23,Moderate
280,4.33,8.64,0.83,0.17,2.55,10.0,0.1,Moderate
281,5.32,8.41,1.56,1.58,3.87,9.6,0.02,Moderate
282,8.42,8.06,2.14,1.99,1.1,10.0,0.68,Low
283,6.28,6.68,1.54,1.65,3.71,10.0,0.73,High
284,10.92,7.43,0.81,0.15,1.51,9.33,1.43,Moderate
285,1.89,9.29,1.47,0.05,4.05,7.8,0.97,Low
286,5.74,7.41,0.62,0.28,4.9,10.0,1.01,Moderate
287,7.45,6.78,0.39,0.02,3.74,10.0,0.2,High
288,3.79,7.6,2.78,0.49,7.15,10.0,0.2,Moderate
289,4.18,6.72,2.22,1.33,5.66,9.32,0.28,Moderate
290,10.02,7.09,0.0,2.93,2.51,10.0,0.09,High
291,3.98,10.51,2.41,0.25,2.87,9.53,0.12,Low
292,9.59,4.95,1.12,0.57,4.39,3.68,0.17,High
293,4.41,7.43,0.19,0.33,5.18,10.0,0.57,Low
294,7.85,7.93,0.42,0.42,1.21,10.0,2.04,Low
295,3.34,8.71,1.47,0.2,4.84,9.82,0.01,Low
296,6.12,8.62,0.8,0.54,1.41,9.17,2.32,Moderate
297,1.34,9.35,6.98,2.03,4.93,9.23,1.91,Low
298,4.19,7.88,1.03,2.66,5.65,10.0,0.12,Low
299,3.8,8.37,2.03,1.5,4.35,10.0,0.0,Low
300,5.13,5.75,2.5,1.54,1.13,5.8,1.18,Moderate
301,2.32,7.97,4.69,0.18,1.76,8.01,0.36,Low
302,7.5,8.25,0.96,0.2,3.87,10.0,3.49,Moderate
303,4.35,9.6,0.28,1.28,0.5,10.0,0.51,Moderate
304,6.11,9.19,1.16,0.85,3.91,10.0,2.07,Low
305,5.0,8.62,3.66,0.35,4.98,10.0,0.45,Low
306,2.72,6.72,0.54,0.54,6.54,10.0,0.34,Moderate
307,3.77,7.97,3.11,0.06,3.71,10.0,0.39,Moderate
308,5.83,9.21,1.31,0.11,3.72,9.67,0.16,Low
309,8.5,8.57,1.29,0.23,2.96,9.96,1.61,Low
310,8.67,8.25,0.0,0.6,0.52,9.63,0.1,High
311,4.49,8.12,0.83,0.25,4.95,10.0,0.13,Moderate
312,3.92,7.25,0.67,1.17,6.41,9.76,0.06,Moderate
313,9.27,6.64,0.0,0.37,4.26,9.24,0.1,High
314,3.88,8.58,4.12,0.04,3.04,9.44,0.51,High
315,5.17,9.68,0.94,0.0,4.14,9.91,0.0,Moderate
316,10.62,6.44,2.3,0.53,4.92,2.01,0.69,High
317,5.29,8.09,6.06,0.58,5.39,10.0,0.15,Moderate
318,5.81,7.97,0.69,0.4,5.1,10.0,0.82,Moderate
319,6.74,7.97,1.13,0.1,0.94,9.26,0.04,Moderate
320,4.42,9.01,5.43,0.41,4.09,10.0,1.89,Moderate
321,3.16,8.1,4.44,0.64,5.14,8.83,2.84,Moderate
322,2.78,7.89,1.5,1.86,5.9,8.7,2.46,Low
323,7.78,8.57,1.17,1.25,3.6,10.0,3.26,Moderate
324,3.67,7.0,4.39,1.13,6.81,10.0,0.74,Moderate
325,0.88,11.0,3.05,0.19,0.84,8.76,0.02,Low
326,7.15,5.51,0.0,0.24,5.05,4.05,0.44,High
327,3.3,8.19,8.0,0.21,4.82,9.06,0.63,Low
328,4.13,9.45,1.22,0.36,4.74,10.0,0.61,Moderate
329,6.96,7.49,0.29,3.32,5.78,10.0,0.02,Moderate
330,7.91,5.84,3.21,0.97,2.55,6.05,1.36,High
331,4.25,8.86,2.38,0.01,5.85,10.0,1.5,Low
332,9.07,6.82,1.8,1.48,4.43,10.0,0.35,Moderate
333,2.05,8.99,2.63,2.7,3.81,10.0,0.71,Low
334,4.25,7.81,0.47,0.62,2.65,8.12,0.16,Moderate
335,7.84,7.14,0.13,0.38,3.68,10.0,0.28,Moderate
336,4.96,7.61,4.66,1.62,4.35,10.0,3.04,Low
337,7.43,9.76,6.64,0.36,2.95,10.0,0.35,Moderate
338,4.53,8.1,0.35,1.24,2.89,8.63,0.02,Moderate
339,10.29,5.95,1.68,0.25,4.16,4.74,1.0,High
340,5.19,7.57,1.8,0.67,3.27,10.0,2.72,Moderate
341,9.4,8.41,0.0,0.02,4.31,10.0,0.16,Moderate
342,7.46,5.67,2.1,0.83,6.63,5.52,0.06,High
343,4.51,8.71,1.82,2.8,2.37,10.0,1.61,Low
344,3.09,8.61,1.25,0.18,4.08,10.0,0.41,Moderate
345,4.42,6.95,3.32,0.56,5.77,9.66,0.49,Moderate
346,4.01,7.7,5.88,0.58,4.53,9.07,1.14,Low
347,5.15,8.44,4.26,0.25,1.51,10.0,0.05,Moderate
348,8.57,6.06,7.81,0.56,4.93,4.16,0.57,High
349,2.61,9.27,1.0,1.4,2.93,9.09,0.31,Moderate
350,9.05,8.49,1.55,0.2,2.84,7.95,1.37,Moderate
351,4.89,8.38,1.43,1.12,2.13,9.94,0.83,Moderate
352,9.8,5.04,0.88,0.47,4.93,3.34,0.57,High
353,4.62,7.46,0.27,1.1,3.43,9.78,3.07,Low
354,5.72,7.64,1.06,2.22,5.07,8.67,0.26,Low
355,6.02,7.47,1.28,0.42,3.39,9.97,2.54,Low
356,4.9,8.36,1.33,0.43,2.91,10.0,0.64,Low
357,3.28,9.09,1.41,0.09,4.36,8.77,0.08,Moderate
358,4.79,9.98,1.04,0.18,1.4,8.73,1.93,Low
359,6.31,7.71,0.7,0.43,6.23,10.0,0.88,Moderate
360,5.29,6.92,0.79,3.5,4.39,10.0,0.6,Moderate
361,5.62,9.11,4.69,0.15,2.3,10.0,1.24,Low
362,9.77,7.77,2.67,0.27,2.05,8.91,0.54,Moderate
363,7.45,7.55,1.36,0.1,3.34,9.2,0.59,High
364,9.68,6.29,0.52,0.06,4.76,4.1,0.07,High
365,4.42,9.0,2.36,3.73,2.15,9.71,1.9,Moderate
366,6.25,7.53,2.84,0.49,3.07,7.93,0.17,Low
367,0.98,7.53,0.84,0.6,4.87,7.3,0.34,Moderate
368,4.55,8.9,0.76,0.62,5.82,10.0,1.38,Low
369,10.08,7.29,2.83,0.1,4.26,9.61,0.21,High
370,2.44,10.51,2.29,2.26,5.77,10.0,0.02,Low
371,5.51,7.27,0.87,0.65,3.96,10.0,2.25,Low
372,8.35,7.23,3.75,0.82,5.37,9.45,2.21,Moderate
373,3.96,8.79,0.98,3.56,5.6,9.32,0.35,Low
374,11.06,6.14,0.0,0.21,4.02,5.12,0.33,High
375,10.72,6.29,0.0,1.88,4.17,5.02,0.23,High
376,9.68,6.57,3.8,0.92,2.26,10.0,0.27,High
377,5.07,8.36,0.8,0.53,6.33,9.88,2.74,Moderate
378,4.25,9.18,1.66,3.13,3.1,9.92,0.07,Moderate
379,7.5,8.52,0.51,0.22,3.76,9.64,0.25,High
380,5.7,7.17,2.35,1.77,4.92,9.9,0.5,Moderate
381,3.38,8.57,2.19,0.44,1.87,8.69,0.36,Moderate
382,2.4,8.66,0.78,0.12,4.06,9.07,0.13,Moderate
383,5.35,7.49,0.24,0.48,4.17,9.74,2.2,Moderate
384,4.42,6.76,1.93,0.64,4.22,9.23,0.13,Moderate
385,2.36,9.12,0.59,0.3,3.9,10.0,0.23,Moderate
386,5.14,8.6,4.61,0.35,5.71,8.22,1.58,Moderate
387,4.1,8.34,2.2,2.05,2.6,10.0,0.38,Moderate
388,5.3,8.06,8.0,0.43,1.75,8.82,0.01,Moderate
389,5.49,8.42,4.34,0.33,2.58,8.93,0.12,Moderate
390,3.59,10.08,2.53,0.45,4.39,8.66,0.09,Moderate
391,5.45,7.6,1.81,0.06,5.06,10.0,0.37,Low
392,9.81,5.32,5.55,0.18,4.53,2.0,0.15,High
393,3.85,8.49,1.84,0.78,5.21,9.85,0.78,Low
394,3.7,10.51,3.56,0.71,3.45,9.66,0.99,Low
395,9.39,5.48,0.59,0.17,2.88,3.42,1.0,High
396,4.08,9.15,2.15,0.19,2.1,9.93,0.61,Moderate
397,6.56,8.79,2.75,2.05,1.15,8.54,0.95,Low
398,8.68,4.52,2.34,0.02,3.88,4.71,0.6,High
399,3.39,9.15,3.04,1.29,4.88,8.02,2.04,Low
400,0.12,10.49,1.85,3.16,4.33,10.0,1.45,Low
401,11.46,5.65,0.9,0.23,3.11,4.8,2.98,High
402,3.99,7.88,1.94,2.18,2.47,9.98,1.96,Low
403,3.2,8.21,0.9,1.35,7.98,8.31,2.8,Moderate
404,7.01,7.14,6.21,0.41,2.35,9.66,1.66,Moderate
405,3.88,8.27,0.48,0.28,4.11,9.38,0.31,Moderate
406,6.45,7.18,1.43,0.33,5.22,10.0,0.16,High
407,9.07,6.41,2.93,0.92,3.43,5.15,0.32,High
408,6.43,8.87,0.0,0.88,1.84,10.0,0.1,Moderate
409,7.35,6.14,0.08,0.7,5.12,5.37,0.17,High
