Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Screen_Time_Hours_Per_Day,GPA,Extracurricular_Hours_Per_Day,Anxiety_Norm,Social_Support_Deficit,Career_Concern_Norm,Mood_Norm,Stress_Level
29,9.45,6.55,0.8,0.01,2.1,9.59,2.47,0.887,0.805,0.634,0.645,High
30,4.91,8.3,0.5,0.49,4.01,10.0,0.41,0.06,0.466,0.0,0.0,Low
31,5.09,8.45,1.06,0.01,4.07,10.0,0.99,0.328,0.402,0.021,0.472,Moderate
32,3.9,6.58,3.25,3.53,5.34,10.0,0.29,0.158,0.405,0.487,0.119,Moderate
33,9.8,5.68,0.27,3.02,2.73,4.61,0.22,0.807,0.648,0.756,1.0,High
34,4.87,9.33,3.11,2.37,2.4,6.8,1.88,0.016,0.39,0.179,0.0,Low
35,4.6,7.66,0.41,0.39,5.91,10.0,0.39,0.251,0.624,0.337,0.488,Moderate
36,11.45,5.89,0.3,0.21,0.58,4.23,0.08,1.0,0.71,0.853,1.0,High
37,9.7,6.3,0.39,0.26,2.81,4.92,0.13,1.0,0.456,0.734,1.0,High
38,4.74,7.58,0.18,1.62,5.23,10.0,0.06,0.479,0.496,0.45,0.398,Moderate
39,8.58,6.76,2.56,0.94,0.91,10.0,1.01,0.872,0.358,0.781,1.0,High
40,5.36,7.03,1.35,1.41,3.82,10.0,0.11,0.733,0.611,0.386,0.34,Moderate
41,5.92,6.37,8.0,0.86,3.71,4.23,3.23,0.571,0.03,0.681,0.575,Moderate
42,3.07,9.06,1.86,1.04,2.72,9.24,1.06,0.0,0.601,0.0,0.0,Low
43,5.55,9.59,0.72,0.39,1.45,8.94,0.28,0.183,0.4,0.355,0.4,Moderate
44,10.27,7.08,0.29,1.45,2.95,8.96,1.44,0.699,0.485,0.585,0.668,High
45,5.46,8.78,1.43,0.26,6.46,9.68,4.11,0.386,0.208,0.479,0.369,Moderate
46,6.72,8.63,0.96,0.31,2.27,9.03,0.51,0.354,0.41,0.342,0.426,Moderate
47,1.34,9.66,2.31,1.24,4.21,6.73,0.51,0.28,0.485,0.121,0.035,Low
48,8.2,7.08,3.61,0.5,2.05,8.54,0.08,0.535,0.314,0.751,0.44,Moderate
49,4.32,7.55,0.85,0.06,5.3,10.0,0.58,0.267,0.627,0.414,0.358,Moderate
50,5.89,8.65,0.0,0.75,4.03,10.0,0.06,0.327,0.623,0.405,0.154,Moderate
51,8.48,7.23,0.0,0.6,3.04,9.15,0.25,0.61,0.382,0.546,0.847,High
52,8.62,6.22,1.59,0.96,0.5,5.01,0.27,0.523,0.376,0.418,0.824,High
53,5.26,7.77,5.94,0.67,5.41,9.96,1.81,0.016,0.065,0.281,0.039,Low
54,2.95,7.77,0.66,0.26,4.5,10.0,0.59,0.065,0.523,0.424,0.242,Low
55,6.31,8.24,0.48,1.43,4.39,10.0,2.04,0.0,0.527,0.053,0.0,Low
56,5.54,9.53,0.64,2.07,2.43,10.0,0.21,0.0,0.714,0.165,0.28,Low
57,4.84,7.1,1.08,0.61,3.82,9.5,0.03,0.305,0.666,0.401,0.094,Moderate
58,1.45,10.46,3.04,1.69,4.42,10.0,0.23,0.0,0.382,0.314,0.0,Low
59,12.53,6.75,0.0,2.72,0.85,8.46,3.09,1.0,0.784,0.823,1.0,High
60,7.11,6.27,2.94,0.04,4.38,5.01,0.15,0.869,0.447,0.695,0.943,High
61,4.46,6.3,0.67,0.35,5.26,4.37,2.6,0.746,0.406,0.496,0.916,High
62,5.91,7.92,0.13,0.99,3.42,10.0,0.65,0.071,0.086,0.182,0.069,Low
63,0.13,9.71,1.18,0.01,4.78,7.77,0.4,0.575,0.424,0.414,0.152,Moderate
64,3.36,8.53,0.99,0.27,3.81,10.0,0.05,0.817,0.252,0.384,0.86,Moderate
65,5.76,9.04,2.66,0.05,0.93,10.0,0.24,0.344,0.503,0.155,0.205,Moderate
66,3.99,8.18,0.6,0.32,3.45,9.08,0.13,0.381,0.594,0.52,0.351,Moderate
67,3.8,11.0,1.1,0.69,4.91,8.57,0.22,0.381,0.6,0.341,0.513,Moderate
68,7.2,5.87,0.0,0.04,4.64,3.73,0.32,0.701,0.99,0.83,0.95,High
69,8.09,6.23,4.8,0.58,0.71,6.16,0.07,0.794,0.524,0.537,0.9,High
70,3.77,7.73,3.19,2.4,5.87,9.86,0.33,0.324,0.497,0.105,0.114,Low
71,8.85,6.64,6.36,0.14,2.1,8.9,0.27,1.0,0.361,0.859,1.0,High
72,6.7,9.0,0.36,0.16,2.86,7.85,0.36,0.452,0.63,0.285,0.317,Moderate
73,6.48,6.54,2.52,1.16,5.47,9.9,0.02,0.697,0.339,0.696,0.567,Moderate
74,5.53,7.09,0.06,0.63,4.25,10.0,1.17,0.383,0.683,0.398,0.519,Moderate
75,6.56,7.0,2.88,0.2,4.18,10.0,0.23,0.804,0.534,0.641,1.0,High
76,4.76,8.17,0.28,0.62,6.37,10.0,0.11,0.005,0.285,0.065,0.0,Low
77,10.31,6.48,2.03,1.26,3.63,3.84,0.03,1.0,0.66,1.0,1.0,High
78,4.18,8.07,0.57,0.81,3.89,8.72,0.57,0.128,0.514,0.478,0.403,Moderate
79,6.08,6.51,0.0,2.06,1.71,8.48,1.6,0.287,0.315,0.543,0.255,Moderate
80,5.22,8.0,3.42,2.11,2.66,8.8,0.19,0.362,0.185,0.0,0.195,Low
81,3.88,10.0,1.34,2.28,5.91,8.05,0.44,0.225,0.429,0.366,0.0,Low
82,4.12,9.4,0.37,0.37,2.27,10.0,0.04,0.288,0.466,0.415,0.66,Moderate
83,6.28,7.27,0.11,0.88,5.93,10.0,0.54,0.246,0.555,0.592,0.36,Moderate
84,8.9,6.88,0.51,1.32,1.25,9.55,0.24,0.368,0.772,0.601,0.702,Moderate
85,9.01,7.27,0.0,0.71,1.58,8.44,0.37,0.796,0.881,0.548,0.739,High
86,11.03,6.95,0.86,1.46,0.5,9.12,0.7,0.782,0.644,0.732,0.75,High
87,4.98,9.72,2.07,0.61,3.88,9.09,0.36,0.104,0.68,0.371,0.0,Low
88,3.73,8.89,3.24,0.55,3.34,10.0,2.34,0.4,0.149,0.237,0.224,Moderate
89,8.8,5.67,1.3,2.08,2.57,4.32,0.64,0.995,0.783,0.97,1.0,High
90,8.32,5.48,1.3,1.97,2.9,3.82,0.43,0.976,0.843,0.841,1.0,High
91,7.9,7.76,6.85,0.37,3.4,9.08,0.53,0.375,0.0,0.579,0.464,Moderate
92,7.21,5.96,0.0,0.61,4.35,6.52,0.11,0.51,0.52,0.54,0.616,Moderate
93,3.43,9.54,3.63,1.59,0.5,10.0,0.01,0.348,0.102,0.164,0.148,Moderate
94,5.53,7.39,2.79,0.38,5.16,9.54,2.08,0.36,0.0,0.398,0.453,Moderate
95,12.16,4.45,0.2,0.04,4.73,2.25,0.62,1.0,0.641,1.0,1.0,High
96,6.57,8.14,3.11,0.35,4.06,9.54,0.41,0.0,0.342,0.025,0.0,Low
97,6.42,6.66,1.85,1.45,4.16,10.0,3.77,0.137,0.635,0.0,0.13,Low
98,9.33,7.13,0.53,0.04,4.64,10.0,0.25,0.624,0.667,0.409,0.35,Moderate
99,8.66,7.08,1.15,0.21,3.65,9.35,0.29,0.67,0.774,0.601,1.0,High
100,2.97,6.98,0.39,0.01,6.52,9.15,0.52,0.588,0.63,0.267,0.328,Moderate
101,6.91,8.92,4.87,0.7,3.21,10.0,1.12,0.0,0.247,0.115,0.0,Low
102,3.07,10.14,1.13,0.03,0.5,10.0,1.47,0.492,0.258,0.039,0.318,Moderate
103,9.04,7.71,0.41,0.75,1.53,10.0,0.31,0.59,0.531,0.409,0.669,Moderate
104,6.07,8.78,0.49,1.81,5.68,10.0,0.0,0.161,0.414,0.119,0.106,Low
105,6.06,7.08,2.1,2.71,2.58,8.0,0.96,0.349,0.259,0.496,0.443,Moderate
106,7.6,8.42,2.4,0.86,2.48,10.0,3.61,0.528,0.447,0.354,0.562,Moderate
107,6.08,8.56,0.25,0.61,5.82,8.23,0.03,0.278,0.273,0.381,0.297,Low
108,6.28,5.64,1.19,0.14,4.74,5.0,0.32,0.69,0.431,0.419,1.0,High
109,8.92,5.84,7.17,3.15,5.68,3.8,0.24,1.0,0.388,0.64,1.0,High
110,1.67,8.58,5.11,0.07,1.77,9.11,1.15,0.161,0.105,0.42,0.659,Moderate
111,4.36,9.88,2.52,0.76,4.14,10.0,0.2,0.139,0.618,0.46,0.114,Moderate
112,6.54,6.67,0.0,0.07,4.14,10.0,2.07,0.509,0.577,0.197,0.45,Moderate
113,8.0,6.54,0.0,1.52,4.1,10.0,3.15,0.27,0.377,0.353,0.358,Moderate
114,3.27,7.5,2.91,0.53,4.38,10.0,3.04,0.077,0.14,0.087,0.138,Low
115,11.19,5.53,0.4,0.3,4.74,2.06,0.37,1.0,0.904,1.0,1.0,High
116,5.25,9.12,4.23,0.66,4.52,8.66,0.73,0.19,0.217,0.569,0.0,Low
117,6.26,6.31,2.24,2.34,3.91,5.62,1.11,0.42,0.356,0.388,0.624,Moderate
118,4.5,8.82,5.33,2.37,3.19,9.56,0.23,0.414,0.342,0.13,0.223,Moderate
119,7.98,6.25,3.62,0.83,5.59,4.83,0.02,0.377,0.644,0.668,0.769,Moderate
120,3.99,10.41,2.74,0.01,1.2,10.0,1.66,0.0,0.496,0.187,0.0,Low
121,5.52,8.11,4.43,0.09,3.06,10.0,0.02,0.0,0.191,0.056,0.095,Low
122,5.01,8.09,4.89,1.06,4.33,9.59,1.83,0.0,0.454,0.385,0.0,Low
123,10.21,5.77,6.64,0.06,4.8,3.23,0.21,1.0,0.362,1.0,1.0,High
124,6.47,7.88,7.4,0.58,2.64,9.38,0.06,0.161,0.097,0.104,0.111,Low
125,6.49,6.18,0.36,0.19,2.14,4.61,1.66,0.513,0.416,0.413,0.714,Moderate
126,1.39,9.54,0.85,0.58,4.72,8.49,0.37,0.775,0.646,0.565,0.671,High
127,9.74,5.93,0.79,1.51,4.1,3.99,0.03,1.0,0.799,1.0,1.0,High
128,9.35,6.02,0.83,0.86,2.74,7.09,1.91,1.0,0.54,0.777,1.0,High
129,7.46,9.37,1.64,0.28,2.84,7.7,1.04,0.026,0.634,0.126,0.098,Low
130,2.63,10.41,1.71,1.26,4.69,10.0,0.28,0.489,0.141,0.396,0.615,Moderate
131,11.56,7.34,0.0,0.2,2.51,8.86,0.31,0.997,0.653,0.716,1.0,High
132,5.1,8.99,0.1,0.04,2.11,9.78,0.33,0.012,0.587,0.134,0.0,Low
133,4.98,8.59,1.7,0.5,4.71,10.0,2.99,0.375,0.546,0.252,0.098,Low
134,6.9,8.98,1.88,0.1,2.23,10.0,0.86,0.415,0.299,0.642,0.722,High
135,4.46,8.69,1.76,0.36,3.18,9.46,0.75,0.183,0.245,0.036,0.109,Low
136,6.89,8.13,0.87,0.55,2.61,10.0,1.57,0.0,0.504,0.0,0.0,Low
137,5.18,9.5,2.56,0.22,5.13,10.0,1.84,0.0,0.491,0.202,0.0,Low
138,4.35,9.22,3.0,0.4,3.93,8.89,0.03,0.648,0.467,0.593,0.515,High
139,2.47,9.5,2.24,2.6,3.89,7.7,2.58,0.09,0.391,0.441,0.24,Low
140,7.16,8.21,0.51,0.17,0.5,10.0,1.67,0.276,0.65,0.261,0.145,Moderate
141,4.11,8.6,0.29,0.09,6.97,10.0,1.16,0.479,0.482,0.169,0.0,Moderate
142,3.66,9.15,6.83,0.62,1.72,10.0,0.09,0.049,0.029,0.694,0.276,Moderate
143,4.03,9.12,0.91,0.28,3.72,9.93,0.27,0.053,0.405,0.128,0.324,Moderate
144,4.77,7.02,1.24,0.73,1.73,8.75,0.26,0.464,0.633,0.241,0.7,Moderate
145,4.09,7.76,3.43,2.15,3.25,10.0,0.02,0.211,0.479,0.426,0.148,Moderate
146,8.08,7.82,0.0,0.6,1.78,9.42,3.41,0.471,0.289,0.541,0.425,Moderate
147,8.77,6.99,0.0,0.64,7.99,10.0,0.45,1.0,0.822,0.902,1.0,High
148,0.93,9.58,2.67,3.33,5.04,8.46,0.09,0.516,0.275,0.214,0.163,Moderate
149,2.35,9.4,5.46,0.08,3.11,10.0,0.39,0.573,0.516,0.615,0.276,Moderate
150,8.05,5.12,0.0,1.76,5.19,3.32,0.35,1.0,0.794,1.0,1.0,High
151,4.09,8.32,6.77,0.26,4.69,7.74,0.88,0.224,0.176,0.1,0.098,Low
152,4.0,8.37,7.06,0.97,2.49,10.0,2.57,0.0,0.052,0.0,0.0,Low
153,6.64,7.78,1.63,1.27,3.69,10.0,0.05,0.505,0.624,0.386,0.908,High
154,5.76,8.76,1.13,1.5,3.85,8.62,0.1,0.0,0.556,0.024,0.0,Low
155,10.56,5.86,4.92,1.35,3.32,6.31,0.83,0.959,0.574,0.909,1.0,High
156,3.6,10.01,0.32,0.1,3.28,10.0,0.1,0.04,0.6,0.0,0.04,Low
157,8.69,5.91,1.87,2.1,4.36,5.33,2.07,0.651,0.45,0.659,0.818,High
158,3.76,9.3,1.23,0.39,4.94,10.0,0.41,0.0,0.447,0.261,0.028,Low
159,2.28,8.61,7.25,0.07,5.23,10.0,0.73,0.331,0.077,0.311,0.448,Moderate
160,5.94,9.01,2.19,0.49,4.5,8.19,2.21,0.0,0.188,0.442,0.0,Low
161,9.55,6.8,3.1,0.53,2.0,8.71,0.03,0.787,0.638,0.473,0.896,High
162,6.67,6.38,1.47,0.58,3.01,3.6,0.57,0.694,0.353,0.57,0.703,Moderate
163,11.06,6.16,0.0,0.81,4.95,4.42,0.12,1.0,0.996,0.746,1.0,High
164,7.48,7.71,0.04,0.21,1.23,10.0,2.53,0.643,0.584,0.632,0.443,Moderate
165,3.1,9.07,8.0,0.4,1.05,8.18,0.17,0.076,0.015,0.328,0.131,Low
166,5.1,8.47,1.25,0.37,5.35,10.0,3.19,0.0,0.598,0.599,0.0,Low
167,5.79,7.67,3.1,0.86,4.9,10.0,0.18,0.422,0.532,0.501,0.412,Moderate
168,4.93,7.64,1.33,1.97,1.81,10.0,0.11,0.049,0.872,0.294,0.081,Moderate
169,6.94,5.85,2.59,0.46,2.29,6.72,0.14,0.907,0.527,0.566,0.843,High
170,5.78,8.48,2.83,0.39,4.23,10.0,0.28,0.0,0.668,0.408,0.081,Low
171,10.66,6.7,0.0,1.45,0.87,7.86,0.52,1.0,0.502,1.0,1.0,High
172,6.08,9.71,0.82,0.55,3.99,10.0,0.08,0.0,0.621,0.0,0.0,Low
173,9.2,6.66,3.75,2.02,0.53,10.0,0.75,0.565,0.376,0.561,0.889,High
174,2.91,9.19,6.52,0.09,1.26,10.0,1.9,0.423,0.128,0.265,0.286,Moderate
175,8.85,6.98,4.52,0.09,2.46,10.0,0.56,1.0,0.301,0.896,1.0,High
176,9.68,7.4,4.01,0.29,1.52,9.49,2.82,0.397,0.266,0.279,0.989,High
177,3.05,8.34,3.7,0.11,6.13,10.0,0.21,0.125,0.65,0.191,0.0,Low
178,5.09,8.29,0.64,1.38,3.07,9.87,0.23,0.173,0.445,0.581,0.096,Moderate
179,1.97,9.26,1.82,1.23,5.27,7.75,1.16,0.0,0.409,0.168,0.0,Low
180,3.33,9.5,3.13,0.07,1.88,9.0,0.05,0.243,0.59,0.59,0.312,Moderate
181,6.08,10.02,3.4,2.47,4.23,9.98,0.58,0.0,0.339,0.344,0.282,Moderate
182,4.84,8.56,0.67,1.47,4.2,10.0,0.47,0.072,0.442,0.151,0.252,Low
183,5.65,6.5,4.84,0.45,4.84,10.0,1.63,0.448,0.095,0.269,0.591,Moderate
184,10.17,5.19,3.38,3.15,2.52,3.82,0.27,1.0,0.693,0.915,1.0,High
185,4.6,9.37,1.01,1.38,3.87,10.0,1.88,0.258,0.258,0.481,0.201,Moderate
186,7.33,5.7,1.34,0.52,2.95,5.12,0.02,1.0,0.616,0.85,0.924,High
187,3.51,9.01,5.29,0.14,3.55,10.0,1.69,0.048,0.238,0.295,0.0,Low
188,8.94,6.07,1.33,0.55,5.73,6.69,0.53,1.0,0.785,0.758,1.0,High
189,5.37,10.74,1.82,0.07,4.07,8.34,0.1,0.183,0.23,0.225,0.0,Low
190,9.3,5.46,0.0,0.46,1.03,3.31,0.48,1.0,0.824,1.0,1.0,High
191,5.58,7.31,2.13,0.03,3.31,9.49,0.27,0.073,0.384,0.332,0.205,Moderate
192,10.36,7.08,0.0,0.64,2.02,8.9,0.83,0.607,0.73,0.547,0.846,High
193,9.49,6.37,3.03,0.61,4.6,7.85,0.33,1.0,0.298,1.0,1.0,High
194,4.97,7.47,0.43,0.05,6.0,7.55,0.15,0.274,0.34,0.013,0.514,Moderate
195,8.64,5.94,0.0,0.6,4.5,5.72,0.0,1.0,0.647,1.0,1.0,High
196,9.25,6.03,0.49,0.58,4.53,6.08,3.37,0.632,0.589,0.514,0.853,High
197,5.81,6.98,0.25,0.5,5.24,8.39,0.24,0.859,0.747,0.789,1.0,High
198,5.44,8.01,0.75,0.07,3.07,10.0,2.28,0.0,0.335,0.101,0.25,Low
199,10.96,8.01,1.44,0.41,6.28,9.29,0.9,1.0,0.652,0.631,1.0,High
200,8.83,8.9,0.86,2.17,3.56,8.7,0.78,0.392,0.645,0.468,0.635,Moderate
201,4.05,10.55,0.89,1.86,2.45,7.67,1.31,0.297,0.661,0.496,0.033,Low
202,5.13,8.0,8.0,2.17,0.72,10.0,3.03,0.0,0.194,0.0,0.0,Low
203,4.47,9.08,0.88,4.05,0.5,10.0,0.19,0.097,0.596,0.476,0.273,Moderate
204,8.21,7.18,0.0,0.23,4.19,7.15,1.44,0.675,0.823,0.599,0.828,High
205,10.46,5.44,0.0,0.17,4.93,4.97,0.55,0.867,0.831,0.5,1.0,High
206,7.2,5.6,1.95,0.36,1.77,5.03,0.97,1.0,0.478,0.718,0.755,High
207,7.82,5.43,0.11,1.24,2.03,5.6,0.53,0.906,0.602,0.452,0.937,High
208,5.1,8.3,0.21,0.87,6.79,10.0,1.46,0.312,0.301,0.394,0.154,Moderate
209,11.25,4.62,0.0,0.45,3.26,2.96,1.79,1.0,0.61,1.0,1.0,High
210,4.33,7.62,2.83,1.1,3.55,8.79,0.32,0.169,0.165,0.521,0.034,Moderate
211,3.04,9.23,3.19,1.14,4.14,8.64,1.08,0.144,0.284,0.267,0.026,Low
212,6.38,5.36,1.63,0.35,4.69,6.43,2.8,0.588,0.434,0.568,0.774,High
213,7.13,8.9,5.14,1.05,0.5,8.19,0.58,0.103,0.173,0.2,0.154,Moderate
214,4.03,8.57,0.98,0.5,5.67,10.0,0.16,0.433,0.499,0.382,0.444,Moderate
215,2.55,8.66,3.94,2.71,4.39,9.26,0.23,0.18,0.464,0.269,0.058,Low
216,4.85,7.59,0.56,0.16,7.0,8.85,0.09,0.456,0.539,0.295,0.374,Moderate
217,7.61,7.74,3.13,1.95,4.15,10.0,0.47,0.36,0.461,0.634,0.401,Moderate
218,11.29,5.01,0.2,0.09,3.54,4.12,1.34,1.0,0.647,0.912,1.0,High
219,5.48,9.33,0.2,2.98,2.67,10.0,0.69,0.179,0.453,0.439,0.223,Low
220,6.95,8.36,0.0,0.27,5.32,10.0,0.39,0.083,0.557,0.188,0.237,Moderate
221,10.84,5.41,1.63,1.89,2.6,2.55,2.67,1.0,0.476,1.0,1.0,High
222,3.49,8.51,0.5,1.29,3.64,8.17,0.1,0.228,0.553,0.375,0.029,Low
223,4.44,9.58,0.63,0.48,2.14,10.0,1.9,0.0,0.818,0.212,0.0,Low
224,3.68,9.04,8.0,0.5,2.07,8.84,0.21,0.0,0.138,0.289,0.0,Low
225,7.18,7.18,2.36,0.5,3.52,9.8,0.21,0.402,0.741,0.326,0.626,Moderate
226,5.75,7.17,1.44,1.46,0.5,10.0,0.17,0.472,0.39,0.544,0.56,Moderate
227,7.05,7.34,0.69,0.46,2.86,10.0,0.07,0.39,0.876,0.551,0.52,Moderate
228,7.73,6.81,3.23,1.5,3.38,9.95,0.21,0.341,0.103,0.235,0.389,Moderate
229,6.52,7.95,0.82,1.08,2.57,8.86,0.19,0.317,0.673,0.452,0.393,Moderate
230,8.3,6.71,0.2,0.53,4.41,7.63,0.96,0.589,0.907,0.433,1.0,High
231,5.52,7.02,1.66,0.32,1.81,9.0,1.07,0.199,0.455,0.237,0.383,Moderate
232,8.04,8.21,0.94,1.84,4.02,10.0,1.91,0.399,0.412,0.84,0.609,Moderate
233,3.39,9.28,0.72,0.5,5.25,10.0,0.14,0.097,0.485,0.0,0.046,Low
234,4.24,7.44,0.83,1.18,6.74,10.0,0.59,0.807,0.588,0.57,0.632,Moderate
235,2.98,8.29,0.45,0.58,5.96,7.73,0.33,0.274,0.371,0.304,0.275,Moderate
236,1.77,10.01,1.6,0.01,3.91,10.0,0.75,0.0,0.264,0.187,0.0,Low
237,3.18,7.97,1.78,1.68,4.75,8.21,1.11,0.064,0.546,0.515,0.463,Moderate
238,3.21,8.63,0.35,0.08,3.74,9.55,0.0,0.698,0.738,0.83,0.615,High
239,8.19,6.77,1.12,0.11,1.62,10.0,0.56,0.765,0.946,0.429,0.974,High
240,9.98,5.71,0.0,0.13,3.67,5.0,0.56,1.0,0.635,1.0,1.0,High
241,4.48,7.29,1.1,0.26,2.64,9.54,0.19,0.42,0.458,0.043,0.469,Moderate
242,6.02,7.76,3.05,1.97,4.14,9.18,0.63,0.017,0.404,0.223,0.276,Moderate
243,5.97,6.9,0.02,0.17,4.72,10.0,0.33,0.299,0.566,0.949,0.366,Moderate
244,4.77,7.66,1.58,1.49,3.37,8.76,0.08,0.451,0.544,0.351,0.697,Moderate
245,4.06,9.35,2.06,0.03,5.51,9.8,0.51,0.099,0.13,0.0,0.135,Moderate
246,7.42,6.61,5.69,2.48,3.03,10.0,1.29,0.242,0.117,0.35,0.346,Moderate
247,3.86,9.03,0.92,0.1,6.1,10.0,0.29,0.434,0.834,0.276,0.487,Moderate
248,5.88,8.83,0.03,1.02,3.29,9.13,2.13,0.015,0.526,0.179,0.0,Low
249,2.73,8.86,5.52,2.1,3.68,9.76,0.54,0.614,0.096,0.182,0.138,Moderate
250,4.13,8.99,2.09,1.44,4.6,9.32,0.02,0.07,0.629,0.529,0.207,Moderate
251,7.51,6.44,1.72,0.73,1.76,5.41,0.47,0.597,0.504,0.401,0.503,Moderate
252,5.53,8.73,1.26,1.84,2.37,10.0,0.06,0.134,0.38,0.281,0.438,Moderate
253,2.4,9.73,3.18,0.02,5.05,9.04,1.99,0.0,0.45,0.162,0.0,Low
254,9.39,8.09,0.35,1.39,0.5,10.0,0.21,0.703,0.76,0.323,0.852,High
255,7.47,8.48,4.75,1.04,1.51,9.63,0.87,0.039,0.224,0.0,0.218,Low
256,4.63,8.57,1.21,0.64,2.65,9.26,0.0,0.754,0.655,0.651,0.582,High
257,4.09,11.0,0.51,0.24,4.13,10.0,0.12,0.117,0.446,0.357,0.091,Moderate
258,9.9,7.34,3.2,0.76,2.54,9.3,3.17,0.836,0.448,0.784,1.0,High
259,9.41,7.9,0.63,0.18,2.38,10.0,0.2,0.505,0.505,0.479,0.59,Moderate
260,6.62,7.15,2.36,2.67,3.23,9.37,0.58,0.595,0.306,0.523,0.07,Moderate
261,5.59,7.6,2.15,0.5,3.79,7.44,1.01,0.196,0.534,0.354,0.022,Moderate
262,3.6,8.74,2.06,0.1,0.5,8.46,0.54,0.197,0.856,0.249,0.061,Moderate
263,5.57,6.97,0.97,1.26,6.06,8.28,2.02,0.266,0.476,0.358,0.217,Moderate
264,9.38,6.68,0.13,0.32,5.84,9.19,0.19,1.0,0.731,0.061,0.937,High
265,3.1,8.8,0.64,0.71,3.66,10.0,0.04,0.093,0.91,0.156,0.0,Moderate
266,8.72,7.97,1.42,0.13,3.41,10.0,0.05,0.771,0.485,0.408,0.671,High
267,8.94,7.96,0.61,1.22,1.38,8.91,0.01,0.943,0.412,0.567,0.707,High
268,9.07,6.87,0.2,2.35,3.11,10.0,0.05,0.748,0.834,0.549,0.826,High
269,8.8,6.47,2.98,0.71,3.27,5.9,0.98,0.61,0.517,0.439,0.64,High
270,12.03,7.51,0.07,0.11,2.56,7.31,2.6,0.497,0.748,0.384,0.629,High
271,7.24,5.87,1.66,1.81,3.47,4.78,0.35,0.774,0.619,0.47,1.0,High
272,7.05,5.91,2.65,0.06,2.09,5.8,0.19,0.609,0.645,0.499,0.982,High
273,8.01,7.6,0.19,2.4,1.66,9.45,1.44,0.14,0.493,0.963,0.456,Moderate
274,5.71,7.86,3.26,0.29,3.1,9.86,1.34,0.244,0.471,0.253,0.193,Moderate
275,7.62,6.95,1.02,0.27,0.6,10.0,0.36,0.545,0.2,0.552,0.729,Moderate
276,4.4,6.56,0.67,0.31,4.31,10.0,1.08,0.375,0.347,0.394,0.434,Moderate
